original_2021,adjusted_2021,target_2025
5.0,5.0,5.0
4.67,4.8,4.84
4.84,4.92,4.36
4.33,4.58,4.89
4.9,4.97,5.0
4.8,4.89,4.85
4.79,4.88,4.91
5.0,5.0,4.93
4.86,4.93,4.54
4.85,4.92,4.8
4.6,4.75,5.0
4.76,4.86,4.8
4.66,4.78,4.83
4.82,4.9,4.86
4.95,5.0,4.91
5.0,5.0,4.92
4.95,5.0,4.58
4.87,4.94,4.73
4.89,4.96,4.87
4.81,4.89,4.92
4.94,5.0,4.85
4.95,5.0,4.52
4.75,4.86,4.68
4.5,4.69,4.94
4.64,4.77,4.98
4.55,4.71,4.67
4.47,4.64,4.69
4.75,4.86,4.95
4.88,4.95,4.94
4.95,5.0,4.98
4.76,4.86,4.95
4.93,5.0,5.0
4.33,4.58,5.0
4.57,4.73,4.91
4.78,4.87,4.9
4.95,5.0,5.0
4.94,5.0,4.95
4.7,4.82,4.75
4.63,4.76,4.95
4.33,4.58,4.93
4.38,4.6,4.97
4.75,4.86,4.43
4.75,4.86,4.96
4.73,4.83,4.88
4.79,4.88,4.89
4.72,4.83,4.48
4.89,4.96,4.21
4.85,4.92,4.77
4.8,4.89,4.92
4.9,4.97,4.35
4.86,4.93,4.67
4.6,4.75,4.77
5.0,5.0,4.83
4.67,4.8,4.95
4.9,4.97,4.88
4.75,4.86,4.54
4.85,4.92,4.95
4.63,4.76,4.84
4.93,5.0,4.7
4.5,4.69,4.83
4.87,4.94,5.0
4.9,4.97,4.9
4.89,4.96,4.91
4.86,4.93,4.91
4.95,5.0,5.0
4.7,4.82,4.83
4.94,5.0,5.0
5.0,5.0,4.85
4.91,5.0,4.79
4.86,4.93,5.0
4.73,4.83,4.83
4.65,4.77,4.41
